state_name,block_code,stage2_works_api,stage2_works_db,delta_fetch_stage2,works_sent_mq,works_processed_function_app,delta_processed_stage2,flagged_works_ai_rule,flagged_works_percen_ai_rule,stage2_works_sent_nic,last_updated_datetime
Andhar Pradesh,0205041,16,16.0,0.0,0.0,32.0,-32.0,8.0,25.0,32.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0208011,21,21.0,0.0,0.0,42.0,-42.0,12.0,28.57,42.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0207026,2,2.0,0.0,0.0,4.0,-4.0,0.0,0.0,4.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0211048,26,26.0,0.0,0.0,52.0,-52.0,18.0,34.62,52.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0213034,5,5.0,0.0,0.0,10.0,-10.0,4.0,40.0,10.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0207042,1,1.0,0.0,0.0,2.0,-2.0,0.0,0.0,2.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0211022,24,24.0,0.0,0.0,48.0,-48.0,14.0,29.17,48.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0202012,249,249.0,0.0,0.0,494.0,-494.0,96.0,19.43,494.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0205043,17,17.0,0.0,0.0,34.0,-34.0,8.0,23.53,34.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0201030,54,54.0,0.0,0.0,99.0,-99.0,20.0,20.2,99.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0205008,9,9.0,0.0,0.0,18.0,-18.0,0.0,0.0,18.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0206013,11,11.0,0.0,0.0,22.0,-22.0,6.0,27.27,22.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0203006,247,247.0,0.0,0.0,494.0,-494.0,10.0,2.02,494.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0201014,90,90.0,0.0,0.0,177.0,-177.0,6.0,3.39,177.0,2024-06-18 04:48:28.868147+00:00
